               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.026053,            0.019617,                   0,             0.65791,             0.53778,              0.5246,             0.21801,            0.052256,             0.03059,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.026316,              0.0196,                   0,             0.62112,             0.57935,             0.53453,             0.23062,            0.051923,            0.029621,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.026085,            0.019624,                   0,             0.65806,             0.55038,             0.53241,             0.23437,            0.051463,            0.030549,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.025738,            0.019203,                   0,             0.64249,             0.54786,             0.52709,             0.22983,            0.051649,            0.030658,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.025973,            0.019461,                   0,             0.62723,             0.56158,             0.52102,             0.22026,            0.051537,            0.030258,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.025655,             0.01932,                   0,             0.67232,             0.53778,             0.52434,             0.22349,            0.051865,             0.03131,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.025314,            0.019333,                   0,             0.65648,             0.56927,             0.52867,             0.22534,            0.051862,            0.030838,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.025338,            0.018941,                   0,             0.64131,             0.56801,             0.52693,             0.22382,            0.051961,            0.030976,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.025069,             0.01885,                   0,              0.6579,             0.57161,             0.53235,             0.23169,            0.051534,            0.031216,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.02503,            0.019115,                   0,             0.62913,             0.56675,             0.52135,             0.22304,            0.051978,            0.031323,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.025232,            0.018453,                   0,             0.64301,             0.56031,             0.52503,              0.2247,             0.05181,            0.031767,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.024582,            0.018791,                   0,             0.67517,             0.53275,              0.5191,             0.22009,            0.052307,            0.031579,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024832,             0.01832,                   0,             0.61766,             0.57809,             0.52859,             0.22843,            0.051903,            0.031661,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.024689,            0.018602,                   0,              0.6601,             0.56549,             0.53443,             0.22603,            0.051899,            0.031363,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.023984,            0.018518,                   0,             0.65188,             0.55658,             0.52511,             0.22571,            0.051571,            0.031167,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.02402,            0.018272,                   0,             0.65602,              0.5529,             0.52165,             0.22227,            0.051883,            0.031743,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.024076,            0.018121,                   0,             0.68106,             0.54156,             0.51763,             0.22338,            0.051834,            0.031743,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.023626,            0.017842,                   0,             0.64975,             0.56927,             0.52197,             0.22281,            0.051763,            0.031862,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.024135,            0.017758,                   0,             0.67769,             0.55164,             0.52213,             0.22365,            0.051708,            0.031923,                   0,            0.000298,            0.000298,            0.000298
